rating,username,content
5.0,음식들어간다,"✅정용관 쉐프님 (런치)

https://m.blog.naver.com/actryu320100/223684168243 (블로그 후기)

하이엔드라 그런지 런치인데도 독도새우, 북해도산 우니. 16kg 방어등 재료 퀄리티도 좋았고, 무엇보다 접객이 너무 좋았어요!

너무 조용하지도 너무 시끄럽지도 않게
딱 기분좋은 유쾌함을 가지고 접각해주시면서
메뉴에 대한 설명은 또 센스있게 해주시니
먹고 나와서도 메뉴에 대해 잘 기억나고,
또 설명과 함께 들으니 더더욱 즐거웠던 식사시간이었답니다 ☺️

다음에는 디너도 가볼까 싶어요!
다음에 가더라도 정용관 쉐프님께
다시 방문하고싶네요 :)"
5.0,마법옥수수,"여러분 ! 모두 스시코우지의 ""스시천재 슬기 쉐프님""을 꼭 만나보셔야 합니다.
스시의 맛은 물론이고, 슬기 쉐프님의 스시를 맛보는 시간을 가져야 하는 이유는 다음과 같습니다!

1. 식재료에 대한 자세한 설명!
슬기 쉐프님은 모든 재료에 대해 원산지가 어디이고 어느정도 숙성 시켰는지 어떤 식재료가 언제가 가장 맛있는지 등 자세히 설명해 주셔서 스시의 맛을 최대한 즐길 수 있도록 도와주십니다!

2. 편안한 분위기 조성!
슬기 쉐프님은 부드럽고 편안하게 응대해 주쳐서 처음 방문하시는 손님도 긴장하지 않고 편하게 스시를 즐길 수 있게 해주십니다! 내항적이고 사람대하기 힘든 저도 쉐프님을 만나고 특별한 경험을 할 수 있었습니다!

낯가림 심한 남지친구도 이제 슬기쉐프님에게만 간다고 하네요~ ㅎㅎ

3. 섬세함!
슬기 쉐프님의 스시는 한 점 한 점 정성이 가득 담겨있습니다. 스시를 만드실때 혼을 담으시는 듯한! 그리고 하나부터 열 끝까지 섬세하게 챙겨주십니다! 모든 스시에 그 섬세함이 담겨있어서 감동할 수 밖에 없습니다ㅠㅠ

저는 슬기 쉐프님의 충성 고객이 되어버렸습니다요~ ^^7
절~ 대 후회 안하실 겁니다 ! 최고입니다! 열심히 돈 벌어서 다시 오겠습니다ㅎㅎ

여러분도 꼭 한 번 방문해보세요. 슬기 쉐프님의 스시를 맛보는 그 순간, 여러분도 저처럼 매료될 겁니다요~ㅎㅎ"
4.3,빵도기,"개인적으로 안키모는 별로 좋아하는 메뉴가 아닌데 타 스시집들과 다른 맛에 너무 맛있게 먹었습니다.
그리고 네타가 워낙 신선해서 비리거나 갸우뚱하게 되는 종류가 하나도 없었고 찐전복에 내장소스를 버무려 우니랑 비벼먹으니 쉐프님 말씀대로 자본주의의 맛 그자체네요😎

단새우 우니조합은 뭐 수없이 먹어봤지만 독도새우의 머리튀김부터 독도새우+우니 조합은 먹자마자 웃음이 나오는 그런 맛이에요 :)

맛이야 두말하면 입아플 정도로 진짜 맛있는 스시였고, 역시나 프로 유튜버답게 코우지 쉐프님 재치있는 입담에 재밌고 맛있고 행복한 식사였어요!"
5.0,따뜻한 맛사냥꾼_72142,결혼기념일에 이슬기 셰프님께 너무 맛있는 점심 먹고왔습니다 ~~ 같은 테이블 팀이 불참하는 바람에 좋은 재료들 운이 좋게 더 얻어먹었어요 ㅎ 셰프님 실력도 물론이고 밥알 하나 네타 하나가 너무 상태좋고 맛도 최고였어요! 홀 매니저님과 직원분도 굉장히 친절하시고 센스가 좋으셨습니다 ~ 셰프님께서 저희 둘 잘 놀아주셔서 너무 감사했어요 ㅋㅋㅋ 덕분에 기억에 남는 하루가 되었습니다 ^^ 코우지 첫 방문이었는데 무조건 재방문 할듯합니다 ㅎ 재방문때 다시 연락 드릴게요 🫶🏻
5.0,sea___,"쉐프님
너무 감동 받았습니다🙇‍♀️
다른 쉐프님들도
너무 친철하시고 좋았어요
좋은하루 보내세요🤍"
5.0,흥미로운 식객_88528,맛있게 배부르게 좋은 시간 보내고 왔습니다!!
5.0,스윽,정용관 셰프님 너무 친절하시고 메뉴 설명도 적절해서 너무 감사했어요. 다음에도 꼭 재방문 하고 싶어요
3.8,렌시오,"연말 데이트를 위하여 토요일 런치 예약을 하고 갔습니다. 여자친구가 친구와 다녀와서 대만족으로 저와 같이 재방문하기위해 예약하였습니다.
자리는 크게 두부분으로 나누어져있었고, 코우지 쉐프의 닷지는 지명을 해야 한다고 하여 아쉽지만 안쪽 자리로 들어가서 앉게 되었습니다. 신선한 재료와 코우지의 특색있는 샤리로 맛있게 먹었고, 양도 부족함 없이 먹었습니다.
하지만, 서비스에 대한 부족함이 너무 절실히 느껴지는 식사였습니다. 처음 자리에 앉을때 의자를 밀어주셨는데, 처음 방문한 것으로 발의 위치를 못잡은 상태에서 너무 세게 밀어서 발뒤꿈치가 찍히는 일을 저와 일행 둘다 겪는것으로 시작하여, 주방 쉐프님의 오마카세 코스와 삐걱대는 느낌이 너무 크게 받았습니다. 마지막에는 외투를 의자에 제대로 걸쳐주지 않아 바닥에 떨어지고 신경을 아예 써주질 않으시더라구요.
저렴한 가격이 아닌 오마카세에서는 맛과 분위기의 즐거움을 함께 만족해야 된다고 생각합니다. 그러나, 유기적으로 흘러가지 않은 분위기에 불편함도 느끼면서 다시 와야하나 고민을 하게 됩니다.
처음 온 스텝이니 하고 넘어가기엔 그 처음이 제가 아니었으면 하는 바람이 있고, 같은 돈을 낸 입장으로서 같은 퀄리티의 서비스를 바라는 것은 당연하다고 봅니다.
재방문을 하게 된다면 맛과 분위기에 걸맞는 서비스를 꼭 느껴보고 싶습니다."
5.0,딸기맛스시,"우선 슬기쉡께서 쥐어주셨던 스시였습니다.
간단하게 표현하면 접객 맛 전부 만족스러웠습니다.
밥(샤리)의 간은 설탕이 들어가지 않은 샤리라그런지 너무
튀지도 않고 물리는 느낌 없이 세지않고 좋았습미다.
특히 전복을 내어주실때 보통이면 내장소스(게우소스)로
주는 업장이 대부분인데 특이하게 김 소스가 어울리더라구요.
맛에 민감한 고등어나 우니 또한 비린맛 쓴맛 없이 좋았습니다.
다만 흠은 아니지만 개인적으로 금태를 밥과 김에 마끼형식으로 싸서 주시는 것 보다 솥밥같은 형식으로 먹어보고싶은 욕심도 있습니다.
스시 코우지의 간판은 코우지상 이시지만 각 셰프마다
니기리 스타일도 다르고 실력있으신 셰프님이시니 이슬기셰프님께도 많이 드셨으면 좋을 것 같습니다"
5.0,인기많은 셀럽_78157,"친구가 생일에 스시코우지 가고싶대서 예약 해서 갔는데,
쉐프님이 친절하게 설명해주시구,
세심하게 하나 신경써주셔서 너무 좋았어요!
친구 생일초도 해주셔서 너무 감사했습니다! 너무 귀염귀염 예뻣어영!! 친구가 엄청 만족해했어요! 저보고 오늘은 너무 예쁘다며..ㅎㅎ 듣기 힘든 칭찬받았습니다..하핳
정말 배부르게 먹고 눈으로 입으로 잘 즐겼습니다!
다음엔 디너에 도전해보려구요! 감사합니다!"
