"userName","score","at","content"
"Google 사용자","1","2025-01-17 13:29:11","반천장 맨날 픽뚫남"
"Google 사용자","4","2025-01-17 13:21:09","설정 스토리 최고"
"Google 사용자","5","2025-01-16 20:06:34","많이 주려는게임"
"Google 사용자","5","2025-01-15 21:45:42","캐릭터가 예쁘고 기본적으로 그래픽이 넘 예쁨!!! 추천!!!"
"Google 사용자","5","2025-01-14 17:14:40","인플레와 구캐릭 버프를 같이해주는 리부스 츄라이해보세요"
"Google 사용자","4","2025-01-14 12:54:55","이게임 장시간 참여를 많이 안해봐서 모르지만 많이 퍼주다는데 저는 자주 탈주해서 모르겟네요 그리고 이게임은 왜? 용량 6기가 조금 넘던데 왜 게임 다운받고 업데이트 하라고하면 14기가 필요하다고함? 그것때문에 앱들 지우고 파일도 지우고"
"Google 사용자","5","2025-01-11 23:16:54","생각나서 복귀 !"
"Google 사용자","5","2025-01-10 22:39:52","센츄리온 언니가 너무 예쁘네요 게임하세요"
"Google 사용자","5","2025-01-10 03:08:01","스토리가 영화보는 느낌임"
"Google 사용자","4","2025-01-10 00:37:18","카카니아 주면 5점줌"
"Google 사용자","5","2025-01-09 23:48:50","오늘처음 설치했는데 재밌어요...그런데 접속하고 스테이지클리어하면 6성주는건 신규유저는 비해당인가요?ㅜ"
"Google 사용자","5","2025-01-09 21:52:06","캐릭터도 너무 이쁘고 개성 있어요"
"Google 사용자","5","2025-01-09 19:10:08","그냥 왠진 모르게 재밌는 노가다성 게임."
"Google 사용자","5","2025-01-09 16:48:28","스토리랑 캐릭터 디자인이랑 게임성을 동시에 잡은 명작"
"Google 사용자","3","2025-01-09 16:10:15","콘텐츠가 추가되는 건 좋은데 갈수록 퀄리티가 떨어지는 것 같습니다. 처음에만 새롭지 나중에는 정형화돼서 신선함도 없고 숙제만 늘어나는 느낌입니다. 음악부터 일러스트까지 재활용도 많고 더빙도 이젠 풀 더빙이 드물고요. 번역도 해괴합니다. 스토리 읽는 맛이 떨어져요. 스토리 장면이라고 해봐야 내레이션 글귀+정적인 배경+라이브 2D 캐릭터 일러스트+더빙+효과음 정도인데 글은 구글 번역기 말투에 배경은 재탕이고 더빙도 줄어드니 감상하는 시간이 아깝습니다. 흥미롭긴 한데 전달 방식도 아쉽고 내용물도 일부 빼고는 그다지 관심이 안 가요. 캐릭터의 경우 대부분 매력적이고 개성 있는데 우후죽순 늘어나고 다음 이야기로 넘어가다 보니 정도 잘 안 붙고요. 아방가르드라고 하는데 점점 캐릭터 디자인도 팔리는 양산형 미소녀로 고정되고 성격이나 배경도 클리셰 따라가는 것 같습니다. 한정 캐릭터도 밥 먹듯이 나와서 지칩니다."
"Google 사용자","5","2025-01-09 14:05:47","굿"
"Google 사용자","4","2025-01-09 13:35:50","업데이트를 했는데 앱을 켰더니 업데이트 다운로드가 안되요! 플레이할 수가 없어요"
"Google 사용자","3","2025-01-09 13:27:32","이젠 더 삭제할 앱도 없는데 저장공간을 대체 얼마나 먹는 건가요 ㅠㅠ 어플 용량관리 좀 해주세요"
"Google 사용자","5","2025-01-09 12:43:20","좀 더 유명해졌으면 좋겠다 싶을 정도로 잘 만든 게임 캐릭터 뿐만 아니라 게임 내 사소한 요소까지 공들여 만든 티가 남"
"Google 사용자","5","2025-01-09 12:14:17","아 이게 갓겜이지 뭐가 갓겜이냐고 ㅋㅋ"
"Google 사용자","4","2025-01-09 12:13:16","전체적으론 좋아요. 하지만 재화가 확실히 더 있어야 할 거 같아요. 그리고 형상이 웃긴게 재화도 적게 줘서 명함 따기도 벅찬데 한정캐 뽑으면 뭐 다른 재화로 형상필름?을 얻을 수단도 없고 이게 밸런스가 맞는지.. 그리고 또 소탕할 때 전투 리플인것도 답답한데 4번씩 밖에 안되는게 진짜 제일 불편해요. 그래도 엄청 퀄리티 좋은 겜이고 재미도잇어요"
"Google 사용자","4","2025-01-09 10:42:26","다좋은데 용량이 너무커서 못들어가고있어요 저도 안조날라 뽑고싶어요 저를 들여보내주세요 제발요"
"Google 사용자","1","2025-01-09 10:32:22","초반엔 할만했는데 뒤로갈수록 너무 스킬이 많고 복잡해서 걍 대충 아무거나 누르기 시작함"
"Google 사용자","5","2025-01-09 10:07:25","한섭 오픈 때부터 했는데 주기적으로 새로운 스토리 나와서 질리지도 않고, 캐릭터나 스토리 자체가 굉장히 공들인 느낌이 나고 독특하고 재밌어요. 전 과금하긴 했지만 인게임에서 얻을 수 있는 재화도 꽤 많고 무료 캐릭터만으로도 게임 진행이 충분해서 부담 없는 점도 좋아요. 간만에 꾸준히, 재밌게 할 게임 찾았어요."
"Google 사용자","5","2025-01-09 09:54:38","뚸어어어어ㅓ어어어어엇"
"Google 사용자","5","2025-01-09 08:42:45","최고의께임"
