review,recommendationid,playtime_forever,timestamp_created,votes_up,votes_funny,steam_purchase,received_for_free
재밌다,186199377,9797,1737606204,0,0,True,False
미안 튜토리얼 스킵했어,186185136,76,1737586384,0,0,True,False
"스컬 조작만 익숙해지니 재밌음
",186167266,321,1737566829,0,0,True,False
.,186155875,1218,1737555592,0,0,True,False
진짜 ㄹㅇ 개꿀잼,186145508,476,1737544037,0,0,True,False
검은거울 못깨겟다 ㅠ,186144723,2205,1737542847,0,0,True,False
개제밌음,186093362,8056,1737475446,0,0,True,False
와! 스컬,186044061,7686,1737408197,0,1,True,False
"음.... 이게임을 한 문장으로 표현 하자면 ""가능성이 끝없는 게임"" 이라고 생각합니다
검은 거울이 없고 스컬 진화가 없던 시절에는 이 게임은 쓰레기였어요 그러나
스컬 진화 보는 맛이 있는 아이템 아이템 시너지 즉 각인을 맞춰가면서 끝까지 가면  각인 각성까지
정말 매력있고 재미있는 게임입니다. 한번 플레이 해보시는 걸 추천합니다",186020510,5902,1737385531,0,0,True,False
jhjhhjjjh,186011685,13308,1737375419,0,0,True,False
진짜 재밌게했는데 4챕 도적때문에 좋은 평가를 줄수가 없음,185972765,5190,1737321626,1,0,True,False
재밌네용,185853467,3416,1737202806,0,0,True,False
재밌다,185847630,758,1737196388,0,0,True,False
"각양각색의 해골 머리들로 능력을 바꾸고 아이템들의 시너지와 컨트롤로 보스들을 격파해 나가면서 약간의 스토리들을 즐기는 로그라이크 게임이다.
하다 보면 중독성이 강하고 재미있다. Rank:A-",185834408,7181,1737178664,0,0,True,False
갓겜,185825579,455,1737167000,0,0,True,False
"걍 개재밌음
",185824587,6807,1737165835,0,0,True,False
솔직히 말해서 갓겜도 맞기는 한데 동시에 너무 개똥겜임 사실 안 질리고 계속 할 수 있을 정도로 다양한 스컬이랑 아이템 뭔가 새로운 빌드 하는 거 재밌는 건 맞는데 템간의 인플레가 너무 심하고 그 인플레를 또 이기는 게 거울이고 거울은 그냥 불쾌하다,185823784,5085,1737164738,0,0,True,False
스토리도 만족적이고 보스난이도도 높아 계속 즐기기에 좋습니다,185821602,2319,1737161764,0,0,True,False
1년반동안 플탐봐요 이거 갓겜임 ㅇㅇ,185820703,54444,1737160625,1,0,True,False
맛있네요,185775190,3239,1737113437,0,0,True,False
재밌는데 조금 어려워요,185769785,3154,1737105017,0,0,True,False
"데드셀을 하고 와서 눈이 높아져서 그런가??
자꾸 데드셀에 비교하게 되는것도 있음.
타 게임의 비해 가시성 많이 뒤처짐. 타격감이 안느껴짐. 
조금밖에 플레이 안했는데도 늘어지는 요소가 느껴지며, 단조로운 전투방식으로 지겨움을 더 느낌.
세일 할때 샀는데도 돈주고 산게 아까워서 환불때림.
",185766698,45,1737100147,0,0,True,False
"좋음

",185764827,2705,1737096918,0,0,True,False
돈값은 하지만 같은 장르에서 그 배가 되도록 즐길 게임이 있는데 굳이..?,185754715,3741,1737081625,1,0,True,False
재미는 있는데 아이템 안뜨면 개빡친다 가끔식 두세판 시간 남을떄 할거 없으면 하는듯 살만함,185747301,13631,1737071202,0,0,True,False
이게 할로우나이트보다 훨씬 낫음,185725504,115,1737049288,0,0,True,False
굿,185701943,1046,1737023835,0,0,True,False
"와 진짜 이게임 너무 재밌어요. 꼭 한번해보시길
처음에 게임만 봤을땐 별로 재미없어보였는대 막상 해보니 너무재밌음",185697037,2408,1737015151,0,0,True,False
레이아나 좀 씨발새끼야,185693524,12477,1737008589,0,0,True,False
타격감 굳,185692564,1157,1737006846,0,0,True,False
재밌는게임인데 초기화될때 쪼금 허무한감이 있지만 그래도 익숙해지면 재밌습니다.,185625604,4414,1736917251,0,0,True,False
돈 하나도 안아까움,185620872,1618,1736909962,0,0,True,False
초대용사 새끼 곱게좀 죽어주지 2페 겨우겨우 떄려잡았는데 지는 풀피회복하네,185615021,984,1736901749,0,0,True,False
스컬!!,185580926,2415,1736866627,0,0,True,False
하다보면 동체시력 늘어서 다른 게임도 잘하게 됌,185562483,11174,1736841539,0,0,True,False
