"userName","score","at","content"
"Google 사용자","5","2025-01-23 16:40:50","버터귀여워"
"Google 사용자","5","2025-01-23 16:40:10","게임과 유저와 개발/운영진이 이렇게 함께 어울려 즐기는 느낌의 게임은 트릭컬에서 처음 경험했습니다. 게임도 재미있고, 캐릭터들도 귀염뽀짝하면서 각자의 매력이 있는게 너무 좋습니다. 게다가 유저의 목소리를 적극 반영하지만 게임성 및 트릭컬의 아이덴티티에서 벗어나지 않는 패치 방향성이 너무 좋습니다. 트릭컬이 나쁜 쪽으로 변화하지 않는 이상 제가 먼저 트릭컬을 그만 두는 일은 없을 것 같습니다. 너무 재밌습니다!"
"Google 사용자","5","2025-01-23 16:29:13","돈을 쓰는게 아깝지 않은 잘 만들어가고 있는 게임입니다:)"
"Google 사용자","5","2025-01-23 16:10:11","말이 필요한가? 트릭컬을 해보지 않았다는 것은 반쪽 폐로 숨쉬는 것과 같다. 난 이제야 양쪽 폐로 숨을 쉬게 되었다."
"Google 사용자","5","2025-01-23 16:09:43","세계수 교단 위치 대충 이쯤인가요? ""이 이야기는 자극히 평범한 왕국에 자극히 평범한 한 교단에 자극히 평범한 생활을 잇는 그대로 엮은 볼따구 스토리입니다."""
"Google 사용자","5","2025-01-23 16:08:54","전부터 눈여겨보다가 호기심에 이제 막 시작했습니다! 생각보다 캐릭터들이 귀여워서 수집욕이 생기는 게임이에요! 볼따구 꼬집는것도 재미있네요!"
"Google 사용자","5","2025-01-23 16:06:52","대뾰니의 애정이 게임에서 느껴집니다. 사도들 그림체도 귀엽고 스토리도 재밌고 무,소과금들도 하기좋게 잘만들어진거같아요!"
"Google 사용자","1","2025-01-23 16:03:58","이번 신년으로 지급했던 재화로 비비 뽑는데 200뽑을 넘게 썼그든요? 근데 어떻게 하나가 안나오죠? 엘다인이 뭐 그렇게 대단한거라고 니케도 필그림 뽑다보면 못해도 한두개는 주는데 이건 정말 너무하네요"
"Google 사용자","3","2025-01-23 16:03:34","플레이포인트 신설, 키디언 인게임 크기 반영하여 축소하라!! 디야 뿔 자르는 정성으로 키디언 인게임 크기에서 오는 괴뢰감도 해결하라!!"
"Google 사용자","5","2025-01-23 16:02:20","픽업 캐릭 절대 안나오네"
"Google 사용자","4","2025-01-23 15:24:19","요리왕 비룡과 콜라보 해주세요"
"Google 사용자","5","2025-01-23 14:38:26","인생 최고의 선택"
"Google 사용자","5","2025-01-23 12:51:36","볼따구가 말랑해요"
"Google 사용자","5","2025-01-23 12:29:33","이젠 그냥 다좋아 이대로만 갑시다"
"Google 사용자","5","2025-01-23 12:13:19","죠안 볼따구 말랑말랑"
"Google 사용자","5","2025-01-23 11:16:01","반년동안 플레이한 유저인데 아주 좋은 게임입니다. 스토리도, 게임 전투 유형도, 이벤트도 너무 좋아서 우수상 말고 최우수상 받아도 되는 게임입니다. 그런데 수위가 아주 조금 높은게 아쉽습니다. 역시 우리의 아트팀, 참잘했어요 도장 꾹!"
"Google 사용자","5","2025-01-23 00:36:17","볼따귀 매우 귀엽습니다 게임도 재미있어요!!"
"Google 사용자","5","2025-01-22 22:26:45","게임 아기자기하고 재밌음"
"Google 사용자","5","2025-01-22 22:00:22","역시 갓겜👍👍👍"
"Google 사용자","4","2025-01-22 17:07:14","나름 재미있어요"
"Google 사용자","5","2025-01-22 14:42:56","난 이렇게 많이 발전한 트릭컬을 보고 많이 놀랐습니다 스토리도 재밌고 게임 구성 자체도 탄탄합니다 물론 재화 모으기가 많이 빡세긴 하지만 그것만 빼면 정말 할만한 게임이라고 봅니다 또한 게임 회사가 소통을 기깔나게 잘하고 게임 회사가 이 트릭컬이라는 게임에 얼마나 진심인지 게임 유저로써 그 모습이 잘보입니다 전 이게 트릭컬의 장점이라고 생각합니다 그리고 스토리 시청때 캐릭터가 쪼그라 드는 버그가 있습니다 고쳐드리는걸 추천합니다 에피드"
"Google 사용자","5","2025-01-22 14:26:01","볼 ㅋㅋ"
"Google 사용자","1","2025-01-22 12:58:33","스토리도 이상하고 전투 1번 하는데 걸리는 시간이 1분에서 5분이에요....너무 길고 캐릭터 노출도 너무 심합니다....그리고 전투 1번하면 10엘리프를 주는데 10회 뽑기가 1000이니까 잔투로 엘리프를 모으려면 100번 전투해서 겨우 10번 뽑는겁니다 그리고 화면 터치가 안되는 버그도 심합니다.그리고 트릭컬은 후반에 난이도가 극악이네요....근데 제가 만12살인데,처음에 캐릭터가 귀여워서 깔았다가 노출도랑 캐릭터 상요작용 때문에 접습니다.만약 12살 자기딸이 막 옷 노출되고 막 침흘리고,'하...하....♡'거리는 게임하면 괜찮나요?....그 외에도 너무 똑같고 지루한 업뎃으로 이제 접습니다.늘 새로운 캐릭터 출시...똑같은 이벤트...어차피 이 게임은 성인들이 할거같네요....그리고 캐릭터 움직임도 이상하네요....그리고 캐릭터 목소리 겹쳐서 너무 어지러워요....마지막으로 12세에서 15세로 변경했으면 좋겠네요...."
"Google 사용자","5","2025-01-22 11:40:34","광기는 절대 하지 말고 순수하세요 전투력 100만점 차이나도 순수한테 영혼까지 털이고 죽어요...우리 광기 애들이 하자가 너무 많아요...리메이크했는데 어째서 더 하자가 많아"
"Google 사용자","5","2025-01-22 01:27:10","친구가 해보라 권유해서 해봤는데 솔직히 제취향 아니여서 별로 재미없을줄 알았는데 막상 하니깐 재밌어서 열심히 하고 있어요 ㅎㅎ"
"Google 사용자","5","2025-01-21 23:26:01","Chill 합니다"
"Google 사용자","1","2025-01-21 22:32:08","어사이드 고치고 증명서 처리 방안 만들어라. 소통하는 척 아무거나 생각없이 때려박지 말고."
"Google 사용자","5","2025-01-21 21:17:12","스토리도 재미있고 정말 많이 퍼줍니다."
"Google 사용자","1","2025-01-21 19:01:57","밸런스 부터 고쳐라 ㅈ 도 의미 없는 UI 나 쳐 바꾸지 말고."
"Google 사용자","1","2025-01-21 18:21:48","게임 개발자들이 자기들 하는 속성만 신경 쓰는 게임 같음. 속성별 차별 매우 심하고 PVP 밸런스 형편없음."
"Google 사용자","4","2025-01-21 15:18:21","밸런스는 좀 아쉽긴하지만 메인스와 이벤스 풀더빙인게 마음에들고 굳이 현질을 안해도 충분히 즐길수있는 게임이라 마음에듬"
"Google 사용자","5","2025-01-21 14:39:26","아니 그냥 캐릭터들이 너무 귀여워요ㅠㅠ 특히 저 볼따구가 진짜 너무 귀여워요ㅋㅋㅋ 캐릭 뽑기도 쉽고 초반 재화도 많이 주시고 앞으로도 열심히 하겠습니다 👍 👍"
